المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
abberviation	abréviation	اختزال
Abduction	Abduction	انتفاخ الأوتار الصوتية
ablative	ablatif	حالة المجاوزة
ablaut	ablaut/ alternance؛ permutation vocalique	تعاقب المصوتات تعاقب الحركات
abnormal vowel	voyelle neutre	مصوت متوسط
abrupt	interrompu	حبسي،منقطع
absolute finale	finale absolue	موضع الوقف
absolute negation	négation absolue	نفي مطلق
absorption	assimilation total	تماثل (في مقابل التجانس)
abstatct noun	nom abstrait	اسم معنى(في مقابل اسم عين)
abstaract sound	Son abstrait	صوت مجرد
Abusive language	Langage abusif	لغة مبتذلة
accent	accent	نبر
accentology	accentologie	علم النبر
accentual group	Groupe accentuel	مجموعة نبرية
accentuel system	système accentuel	نظام نبري
accentual unit	unité accentuelle	وحدة نبرية
accentuation	accentuation	تنبير
acceptability	acceptabilité	استحسان
accessory verb	auxiliaire	فعل مساعد( الأفعال الناقصة والنواسخ)
accidence	fléxion	عوارض التصرف
accommodation	assimilation	تجانس(مضارغة)
accusative	accusatif	صوتي فزيائي
acoustique	acoustique	صفات صوتية
acoustic features	traits acoustique	صفات صوتية فزيائية
acoustic filter	filtre acoustique	راشح صوتي
acoustic formants	formants acoustiques	مكونات صوتية فزيائية
acoustician	acoustician	عالم الصوت
acoustic image	image acoustique	صورة سمعية للصوت
acoustics	phonétique acoustique	عالم الأصوات الفزيائي
acoustics	acoustique ؛phonétique acoustique	علم الصوت الفزيائي (دراسة الأصوات من الناحية الفزيائية)
acquisition (linguistic)	acquisition (linguistique)	اكتساب (اللغة)
acronym	acronym ؛abréviation	مختزل نحتي
acrophony	acrophonie	تسمية بالأول
action noun	nom d’action	مصدر
active articulator	organe phonateur actif	عضو النطق المتحرك
active activity	cavité activité	تجويف صاد
active voice	voix active	حالة المبني للمعلوم
actor	actant	فاعل حقيقي
actor-action-goal	agent-action-but	فاعل/فعل/فعل/غاية
actualization	actualisation ؛réalisation	تأدية الحرف إخراج الحروف في التراث)
acute accent	accent aigu/clair	تنغيم حاد
acute phoneme	phonème aigu ;phonème clair	وحدة صوتية حادة
Adam’s apple	pomme d’Adam	حَرْقَدَة
addition	addition	إقحام صوت(في الصوتيات)
additive allomorph	allomorphe supplémentaire	بدل صرفي إضافي
additive clause	proposition	جملة زائدة
adress	terme d’adresse	مخاطبة
adressee	interlocuteur ; allocataire ; destinataire	مخاطب
addresser	destinateur	مرسل(مخاطب ،مبلغ)
adduction	adduction	انقباض(الأوتار الصوتية)
adequacy	adéquation	استيفاء
adherent active	adjectif (qualificatif) épithète	نعت،صفة
ad hoc (law)	régle ad hoc	قاعدة مخصومة
adjacency	adjacence	اتصال
adjectival	adjectival	نعتي،وصفي
adjectival clause	proposition adjectival	جملة وصفية
adjectival construction	construction adjectival	تركيب نعتي
adjectival clause	syntagme adjectival	جملة وصفية
adjectif compement	prédicat adjectif ; adjectif attribut	تركيب نعتي
adjectif prdicate	attribut	خبر وصفي
adjoining ;adjunction	adjonction	إلحاق
adjunct(word)	adjoint ;expansion	فضلة (في مقابل العمدة)
adnominal	adonimal	مخصص الاسم منه المضاف إليه)
adoptive form	forme hypercorrecte	ضرب مغلوط التصحيح
adstratum	adstrat	لغة طارئة
adverbe	adverbe	ظرف
adverbial clause	proposition adverbial	جملة قرينة فضلية
adverbialization	adverbialisation	تحويل إلى قرينة فضلية
adversative clause	proposition indiquant l’opposition	جملة استدراكية
adversative conjonction	conjonction adversative	أداة استدراك
aesthetic opposition	opposition	تقابل جمالي
affective	affectif	وجداني
affiliation	apparentement de langues	قرابة لغوية  نسب لغوي
affinity	affinité linguistique	تشابه
affirmation	affirmation	إثبات
affix	affixe	زائدة
affixation	affixation	زيادة (منها الإلحاق)
affix cliping	fausse ségmentation	تقطيع خاطئ
affixing language	langue flexionnelle ; langue agglutinante	لغة ذات زوائد
affricate	affriquée	معطش (شديد مرخي)
affrication	affrication	تعطيش (ترخية )
agent	agent	فاعل
agglomerting language	langue agglutinative	لغة مزجية
agglomoeration agglutination	agglutination	تركيب مزجي
aggregative compound	mot composé(ex :titres dans journaux)	كلمة مركبة
agnate sentence	phrase d’agnat (phrases bien construites)	جمل أصول وفروع
agnosia	agnosie	عمه
agrammaticality	agrammaticalité	عدم الاستقامة  (عدم السلامة في اللحن)
agrammatism	agrammatisme	مصاباة أوعمه التراكيب (عدم القدرة على الكلام السليم من حيث التركيب)
agraphia	agraphie	عمه الكتابة (عدم القدرة علة الكتابة)
agreement	accord grammatical	توافق
air-stream	écoulement de l’air	مجرى الهواء
air-strean mechanisme	mécanisme d’ecoulement de l’air	كيفية مجرى الهواء
aksouma	impression acoustique	انطباع سمعي للصوت
akume	akuéme	مميز أدني لصوت الفرد
alexia	alexie	عمه القراءة
algorithm	alforithme	خوارزمية
alienism	amprunt ;interférence	دخيل
alienword	emprunt	كلمة دخيلة
allegro forms	formes contractées	صيغ مختزلة (في النطق)
alliteration	alliteration	جناس استهلالي
allochrone	apposition circonflexe	بدل مدي
allocution	allocution	خطاب
allograph	allograph	بدل خطي
allomorph	allomorph	بدل صرفي
allophone	allophone	يدل صوتي  (وجه أداء)
allophonic analogy	analogie allophonique	قياس البدائل الصوتية  (شبه الأصوات)
allophonic change	changement allophonique	تحول صوتي
allophonic confusion	confusion allophonique	خلط صوتي
allophonic variant	variante allophonique	بدل صوتي
alloseme	alloséme	بدل معنوي
allotagma	variante non-distinctive d’un tagmème	بدل تاكميم
allotone	allotone	بدل نغمي
alphabet	alphabet	ألفباء
alphabetic writing	écriture alphabétique	كتابة ألفبائية
alphabetography	étude de l’écriture alphabétique	دراسة الكتابة الألفبائية
alteration(meaning)	changement sémantique	تحول دلالي
alternation	alternance	تعاقب
alternation change	alternance	تحول بالتعاقب
alternative form	forme alternante	بدل التعاقب
alveo-dental	alvéo-dental	نطعي أسناني
alveolar	alvéolaire	نطعي
alveolar ridge ;alveolum	alvéoles	نطع
amalgam	amalgame	امتزاج
amalgamting language	langue flexionnelle ;langue amalgamante	لغة مزجية
ambiguity	ambiguité	التباس
amblingual	bilingue	ثنائي اللغة
ambisyllabic	ambisylabique	بين مقطعين
ambivalent word	mot avec deux sens contraires (ex :hote=guest/host)	لفظ من الأضداد  (دال على معنين متباينين كالجون للأسود والأبيض)
ameloration	amélioration  (connotive d’un mot)	ارتقاء دلالة الكلمة
ameliorative suffix	sufix d’amélioration connotive	زائدة ارتقائية
amnesic aphasia	aphasie amnésique	حبسة أمهية
amorphous change	changement irregulier	تحول غير قياسي
amorphous language	langue amorphe	لغة عازلة
amplificative	amplification ;accumulation	تكبيري(عكس تصغيري )
amplitude	amplitude	سعة الصوت
amusia	musie	عمه الألحان
anaculuthon	anacoluthe	التفات(صورة بيانية)
analogical change	changement analogique	تحول حملي
analogical extention	extension analogique	توسع قياسي
analogism	analogisme	القياسية
analogue	analogue	نظير
analogy	analogie	قياس (تناسب،شبه)
analphabetic notation	symboles diacritiques/phonétiques	علامة الاعجام
analytical (analytuc) language	langue analytique	لغة إلحاقية
anaphora	anaphore	إحالة العائد(في التراكيب)  تصدير( في البلاغة)
anaphoric reference	renvoi anaphorique	إحالة العائد
anaphoric subtitude	substitut anaphorique	العائد
anaphoric word	mot anaphorique	1-العائد 2-لفظة التصدير
anaptytic vowel	anaptyctique (phoét.) ;épenthétique	صوت مقحم
anaptyxis	anaptyxix ;épenthése	إقحام المصوت
anarthia	anarthie ;aphasie d’expression	حكلة ،رتة
anastrophe	anastrophe	تقديم وتاخير  (في كلمات الجملة)
ancestor language	langue souche/mére	اللغة الأصلية
angle of jaws	angle maxilaire	زاوية فكين
animal language	langage animal	لغة الحيوان
animate (noun)	animé	اسم الحي(عكس جماد)
annective composition	composition annective	تركيب إضافي
annexiation	annexion	إضافة
annomination	jeu de mots	تورية فكهة
anomalism	anomalisme	الشذوذية   (في قواعد اللغة)
anamalous	anomal	الشاذ
anomolous verbs	verbes anomaux ;verbes irreguliers	أفعال شادة(لا تلتقي على أصل واحد)
anomaly	anomalie	شذوذ
antanaclasis	antanaclase	ترديد(والاستخدام نوع منه)
antecedent	antécédent	المعود إليه
antepenultimate	antépénultième	سابق لما قبل الآخر
anterior	antérieur	أمامي (من مقدم الفم)
anthroponymy	anthroponymie ;anomastique ; anticadence	دراسة أعلام الأشخاص
anticipation	anticipation	توقع (في التقريب)
anticipatory	anticipant ;regressif	توقعي
anticipatory axpansion	expansion assimilatoire ;assimilation regressive	تقريب توقعي
